Depozito,Fiyat Durumu,Site İçerisinde,Eşya Durumu,Brüt Metrekare,Aidat,Binanın Yaşı,Takas,Net Metrekare,Türü,Balkon Tipi,Yapı Tipi,Salon Metrekare,WC Sayısı,İlan Güncelleme Tarihi,Bulunduğu Kat,Yapı Durumu,Isıtma Tipi,Oda Sayısı,İlan Oluşturma Tarihi,Balkon Sayısı,Görüntülü Gezilebilir mi?,Fiyat,Banyo Sayısı,Binanın Kat Sayısı,Kategorisi,Balkon Metrekare,Balkon Durumu,Kullanım Durumu,İlan Numarası,WC Metrekare,Banyo Metrekare
,Genel Fiyat,Evet,,80 M2,,1,Yok,70 M2,Konut,,,,,16 Mayıs 2023,7.Kat,,Merkezi (Pay Ölçer),1+1,16 Mayıs 2023,,,"14,500TL",1,12,Kiralık,,,Boş,13229936,,
,Genel Fiyat,Hayır,,120 M2,50 TL,21 Ve Üzeri,,115 M2,Konut,Kapalı Balkon,Betonarme,,1,21 Mayıs 2023,1.Kat,İkinci El,Kombi Doğalgaz,3+1,15 Mayıs 2023,2,,"10,000TL",1,5,Kiralık,,Var,Boş,13229381,,
13000 TL,Genel Fiyat,Hayır,Boş,120 M2,,21 Ve Üzeri,,95 M2,Konut,,,,1,15 Mayıs 2023,2.Kat,,Kombi Doğalgaz,2+1,15 Mayıs 2023,,,"13,000TL",1,5,Kiralık,,Var,Mülk Sahibi Oturuyor,13229323,,
20000 TL,Birim Fiyat,Hayır,,95 M2,100 TL,15-Nov,,90 M2,Konut,,,,,15 Mayıs 2023,Bahçe Dublex,,Kombi Doğalgaz,2+2,15 Mayıs 2023,,,"11,000TL",1,5,Kiralık,,,Boş,13229199,,
20000 TL,Birim Fiyat,Hayır,,80 M2,100 TL,10-May,,75 M2,Konut,,,,,15 Mayıs 2023,Yüksek Giriş,,Kombi Doğalgaz,2+1,15 Mayıs 2023,,,"10,500TL",1,5,Kiralık,,Yok,Boş,13229180,,
,Genel Fiyat,Hayır,,90 M2,,21 Ve Üzeri,,80 M2,Konut,,,,,17 Mayıs 2023,1.Kat,,Kombi Doğalgaz,2+1,15 Mayıs 2023,,,"10,000TL",1,5,Kiralık,,Var,Boş,13229176,,
15000 TL,Genel Fiyat,Hayır,Eşyalı,160 M2,50 TL,10-May,Yok,150 M2,Konut,,Betonarme,20 M2,2,20 Mayıs 2023,Çatı Dubleks,Sıfır,Kombi Doğalgaz,3+1,15 Mayıs 2023,,Evet,"12,000TL",3,4,Kiralık,,Var,Boş,13228218,,10 M2
15000 TL,Genel Fiyat,Hayır,,105 M2,50 TL,21 Ve Üzeri,,100 M2,Konut,,,,,15 Mayıs 2023,1.Kat,,Kombi Doğalgaz,2+1,15 Mayıs 2023,,,"12,000TL",1,5,Kiralık,,Yok,Boş,13228024,,
10000 TL,Genel Fiyat,Hayır,Boş,110 M2,50 TL,21 Ve Üzeri,Yok,100 M2,Konut,,Betonarme,25 M2,1,20 Mayıs 2023,4.Kat,İkinci El,Kombi Doğalgaz,2+1,15 Mayıs 2023,1,Evet,"10,000TL",1,5,Kiralık,,Var,Boş,13227233,6 M2,10 M2
25000 TL,Genel Fiyat,Hayır,Eşyalı,88 M2,,21 Ve Üzeri,,8 M2,Konut,,Betonarme,,1,16 Mayıs 2023,3.Kat,İkinci El,Kombi Doğalgaz,2+1,15 Mayıs 2023,,Hayır,"17,500TL",1,4,Kiralık,,Var,Boş,13226632,,
,Genel Fiyat,Hayır,,80 M2,,21 Ve Üzeri,,1 M2,Konut,,,,,21 Mayıs 2023,4.Kat,,Kombi Doğalgaz,2+1,15 Mayıs 2023,,,"7,000TL",1,5,Kiralık,,,Boş,13226040,,
8750 TL,Genel Fiyat,Hayır,,120 M2,40 TL,21 Ve Üzeri,Yok,115 M2,Konut,Açık Balkon,Betonarme,25 M2,2,13 Mayıs 2023,4.Kat,İkinci El,Doğalgaz Sobalı,3+1,13 Mayıs 2023,1,Hayır,"8,750TL",2,5,Kiralık,10 M2,Var,Boş,13223585,5 M2,12 M2
10000 TL,Genel Fiyat,Hayır,Boş,150 M2,,21 Ve Üzeri,Yok,140 M2,Konut,,Betonarme,,1,21 Mayıs 2023,Düz Giriş,İkinci El,Isıtma Yok,1 Oda,13 Mayıs 2023,,Evet,"10,000TL",Yok,4,Kiralık,,Yok,Boş,13222083,,
,Genel Fiyat,Hayır,,110 M2,,15-Nov,,90 M2,Konut,,,,,17 Mayıs 2023,Bahçe Dublex,,Kombi Doğalgaz,3+1,13 Mayıs 2023,,,"10,500TL",2,5,Kiralık,,,Kiracı Oturuyor,13221624,,
